"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"2489","275","1761","236","66","59","0","12","496","184","0","12","8","23","158","135","16","22","142","131","1400000US25017352102","Census Tract 3521.02, Middlesex County, Massachusetts"
"1762","189","1286","157","257","155","0","12","103","69","0","12","38","49","78","51","20","33","58","43","1400000US25017352200","Census Tract 3522, Middlesex County, Massachusetts"
"4725","364","2800","345","217","122","0","12","1203","315","13","24","193","213","299","176","8","14","291","176","1400000US25017352300","Census Tract 3523, Middlesex County, Massachusetts"
"2086","172","902","160","738","211","0","12","268","125","0","12","100","57","78","53","40","42","38","32","1400000US25017352400","Census Tract 3524, Middlesex County, Massachusetts"
"2864","284","2052","317","294","152","0","12","463","214","0","12","0","12","55","46","0","12","55","46","1400000US25017352500","Census Tract 3525, Middlesex County, Massachusetts"
"2893","257","2284","382","228","206","4","10","231","97","0","12","96","76","50","42","17","27","33","30","1400000US25017352600","Census Tract 3526, Middlesex County, Massachusetts"
"2250","258","1294","202","478","104","12","20","317","206","0","12","48","52","101","72","0","12","101","72","1400000US25017352700","Census Tract 3527, Middlesex County, Massachusetts"
"2332","200","1562","211","230","129","4","7","360","160","0","12","124","75","52","34","0","12","52","34","1400000US25017352800","Census Tract 3528, Middlesex County, Massachusetts"
"2916","299","2323","281","218","259","0","12","320","168","0","12","18","29","37","28","0","12","37","28","1400000US25017352900","Census Tract 3529, Middlesex County, Massachusetts"
"3803","310","2197","261","486","232","0","12","774","251","7","13","139","115","200","129","39","52","161","115","1400000US25017353000","Census Tract 3530, Middlesex County, Massachusetts"
"2647","260","1552","261","514","227","0","12","372","130","0","12","88","68","121","69","7","11","114","68","1400000US25017353101","Census Tract 3531.01, Middlesex County, Massachusetts"
"4888","510","2735","361","232","85","20","29","1502","281","7","14","75","48","317","127","68","50","249","96","1400000US25017353102","Census Tract 3531.02, Middlesex County, Massachusetts"
"5219","355","3235","355","505","138","0","17","1134","293","73","97","52","40","220","102","8","15","212","102","1400000US25017353200","Census Tract 3532, Middlesex County, Massachusetts"
"4452","359","3279","293","191","87","0","12","638","291","0","12","63","77","281","117","10","16","271","118","1400000US25017353300","Census Tract 3533, Middlesex County, Massachusetts"
"3180","292","1487","225","1066","307","73","82","339","125","0","12","57","59","158","78","58","49","100","61","1400000US25017353400","Census Tract 3534, Middlesex County, Massachusetts"
"2797","255","1932","253","454","93","14","21","214","125","0","12","21","33","162","97","15","22","147","95","1400000US25017353500","Census Tract 3535, Middlesex County, Massachusetts"
"4857","421","3584","374","182","82","17","25","702","134","0","12","80","43","292","105","47","42","245","94","1400000US25017353600","Census Tract 3536, Middlesex County, Massachusetts"
"5858","540","4202","503","282","144","0","17","949","169","8","16","106","62","311","106","34","32","277","101","1400000US25017353700","Census Tract 3537, Middlesex County, Massachusetts"
"4527","429","3207","408","195","140","1","2","736","246","0","12","55","60","333","172","108","115","225","177","1400000US25017353800","Census Tract 3538, Middlesex County, Massachusetts"
"6039","616","3563","423","366","139","22","43","1649","297","8","15","160","103","271","111","22","34","249","104","1400000US25017353900","Census Tract 3539, Middlesex County, Massachusetts"
"4414","425","3184","410","187","127","0","12","695","164","0","12","60","61","288","120","24","32","264","125","1400000US25017354000","Census Tract 3540, Middlesex County, Massachusetts"
"2921","291","2272","251","119","94","9","15","425","239","0","12","45","51","51","39","13","17","38","33","1400000US25017354100","Census Tract 3541, Middlesex County, Massachusetts"
"3219","239","2808","265","122","96","0","12","103","58","11","17","61","58","114","99","64","92","50","44","1400000US25017354200","Census Tract 3542, Middlesex County, Massachusetts"
"3475","252","2369","243","386","126","0","12","450","167","0","12","130","105","140","87","10","19","130","83","1400000US25017354300","Census Tract 3543, Middlesex County, Massachusetts"
"1732","149","1457","136","8","11","0","12","106","52","0","12","25","27","136","72","0","12","136","72","1400000US25017354400","Census Tract 3544, Middlesex County, Massachusetts"
"2935","303","2245","295","222","231","7","13","287","191","0","12","0","12","174","101","0","12","174","101","1400000US25017354500","Census Tract 3545, Middlesex County, Massachusetts"
"6133","521","3752","520","1037","327","0","17","955","408","0","17","80","128","309","183","0","17","309","183","1400000US25017354600","Census Tract 3546, Middlesex County, Massachusetts"
"2854","296","2109","227","158","86","0","12","529","270","0","12","9","13","49","41","10","15","39","37","1400000US25017354700","Census Tract 3547, Middlesex County, Massachusetts"
"2506","164","1940","164","113","100","3","6","353","142","0","12","33","33","64","32","6","9","58","30","1400000US25017354800","Census Tract 3548, Middlesex County, Massachusetts"
"8069","593","4099","589","2325","497","0","17","1553","340","0","17","46","72","46","65","0","17","46","65","1400000US25017354900","Census Tract 3549, Middlesex County, Massachusetts"
"3121","217","1947","267","438","144","6","9","587","233","0","12","42","51","101","69","0","12","101","69","1400000US25017355000","Census Tract 3550, Middlesex County, Massachusetts"
"3262","236","2758","277","0","12","0","12","304","152","0","12","37","53","163","75","23","35","140","65","1400000US25017356100","Census Tract 3561, Middlesex County, Massachusetts"
"5355","302","3986","342","137","135","27","43","1029","293","0","17","59","56","117","81","0","17","117","81","1400000US25017356300","Census Tract 3563, Middlesex County, Massachusetts"
"7791","382","6237","536","223","242","0","17","931","267","0","17","108","146","292","157","0","17","292","157","1400000US25017356400","Census Tract 3564, Middlesex County, Massachusetts"
"7321","419","5697","504","352","278","0","17","798","230","0","17","69","76","405","210","0","17","405","210","1400000US25017356500","Census Tract 3565, Middlesex County, Massachusetts"
"4610","332","3693","275","133","107","0","12","538","151","0","12","85","70","161","100","35","36","126","93","1400000US25017356601","Census Tract 3566.01, Middlesex County, Massachusetts"
"4270","245","3597","246","91","54","0","12","383","125","0","12","38","59","161","90","0","12","161","90","1400000US25017356602","Census Tract 3566.02, Middlesex County, Massachusetts"
"5634","473","4425","438","203","159","18","28","842","485","0","17","47","42","99","84","0","17","99","84","1400000US25017356701","Census Tract 3567.01, Middlesex County, Massachusetts"
"7061","413","5697","411","264","268","0","17","742","261","0","17","41","44","317","193","0","17","317","193","1400000US25017356702","Census Tract 3567.02, Middlesex County, Massachusetts"
"4442","261","3244","236","0","12","0","12","1065","202","0","12","0","12","133","91","0","12","133","91","1400000US25017357100","Census Tract 3571, Middlesex County, Massachusetts"
"3275","244","2682","229","30","35","7","11","508","114","0","12","0","12","48","40","8","14","40","36","1400000US25017357200","Census Tract 3572, Middlesex County, Massachusetts"
"3189","184","2490","224","37","39","27","40","490","140","0","12","25","30","120","66","0","12","120","66","1400000US25017357300","Census Tract 3573, Middlesex County, Massachusetts"
"2325","130","1979","120","1","3","0","12","263","63","0","12","8","12","74","42","0","12","74","42","1400000US25017357400","Census Tract 3574, Middlesex County, Massachusetts"
"2232","133","1681","179","78","74","0","12","328","159","0","12","37","44","108","48","0","12","108","48","1400000US25017357500","Census Tract 3575, Middlesex County, Massachusetts"
"2774","222","1944","207","24","32","0","12","652","270","0","12","34","59","120","98","6","14","114","95","1400000US25017357600","Census Tract 3576, Middlesex County, Massachusetts"
"3960","247","2912","280","123","139","0","12","736","227","0","12","2","5","187","135","0","12","187","135","1400000US25017357700","Census Tract 3577, Middlesex County, Massachusetts"
"3916","255","3138","225","91","76","40","59","437","132","0","12","9","14","201","128","0","12","201","128","1400000US25017357800","Census Tract 3578, Middlesex County, Massachusetts"
"5449","258","3604","238","81","94","39","61","1429","288","0","17","44","54","252","131","12","19","240","130","1400000US25017358100","Census Tract 3581, Middlesex County, Massachusetts"
"5822","290","3155","320","118","82","0","17","2145","353","0","17","134","121","270","190","0","17","270","190","1400000US25017358300","Census Tract 3583, Middlesex County, Massachusetts"
"5119","245","3621","245","83","64","19","23","1205","166","0","17","60","57","131","57","0","17","131","57","1400000US25017358400","Census Tract 3584, Middlesex County, Massachusetts"
"5521","272","3422","255","28","22","0","17","1850","214","0","17","9","16","212","130","0","17","212","130","1400000US25017358500","Census Tract 3585, Middlesex County, Massachusetts"
"5931","271","3987","272","0","17","0","17","1653","249","0","17","35","56","256","188","0","17","256","188","1400000US25017358600","Census Tract 3586, Middlesex County, Massachusetts"
"5498","221","3479","204","120","189","0","17","1746","153","0","17","34","51","119","62","27","32","92","60","1400000US25017358700","Census Tract 3587, Middlesex County, Massachusetts"
"6572","241","4889","363","342","251","25","30","1095","197","0","17","34","40","187","125","0","17","187","125","1400000US25017359100","Census Tract 3591, Middlesex County, Massachusetts"
"7570","248","6050","357","237","294","0","17","1021","227","0","17","0","17","262","138","0","17","262","138","1400000US25017359300","Census Tract 3593, Middlesex County, Massachusetts"
"1973","136","1548","193","75","83","0","12","222","163","0","12","4","8","124","81","0","12","124","81","1400000US25017360100","Census Tract 3601, Middlesex County, Massachusetts"
"4857","138","4509","187","21","30","0","12","210","55","0","12","4","10","113","99","12","31","101","95","1400000US25017360200","Census Tract 3602, Middlesex County, Massachusetts"
"5756","329","5443","335","75","108","0","17","162","116","0","17","9","20","67","87","0","17","67","87","1400000US25017361100","Census Tract 3611, Middlesex County, Massachusetts"
"7193","320","5526","397","592","292","0","17","377","178","0","17","419","127","279","148","99","80","180","137","1400000US25017361200","Census Tract 3612, Middlesex County, Massachusetts"
"6167","286","4944","350","102","68","0","17","875","364","0","17","87","39","159","127","24","82","135","85","1400000US25017361300","Census Tract 3613, Middlesex County, Massachusetts"
"5224","18","4517","161","0","17","0","17","595","139","0","17","13","20","99","79","33","56","66","50","1400000US25017362100","Census Tract 3621, Middlesex County, Massachusetts"
"6690","347","4167","424","154","139","0","17","2050","326","0","17","72","81","247","177","0","17","247","177","1400000US25017363102","Census Tract 3631.02, Middlesex County, Massachusetts"
"3653","198","2532","198","65","100","0","12","932","238","0","12","25","27","99","62","18","26","81","57","1400000US25017363103","Census Tract 3631.03, Middlesex County, Massachusetts"
"6235","258","4381","239","137","133","26","38","1604","339","22","33","0","17","65","53","0","17","65","53","1400000US25017363104","Census Tract 3631.04, Middlesex County, Massachusetts"
"3179","183","2577","178","2","4","0","12","590","127","0","12","10","16","0","12","0","12","0","12","1400000US25017363201","Census Tract 3632.01, Middlesex County, Massachusetts"
"3870","195","2615","254","1","3","0","12","973","179","0","12","0","12","281","213","0","12","281","213","1400000US25017363202","Census Tract 3632.02, Middlesex County, Massachusetts"
"5584","271","5102","358","126","178","0","17","57","73","0","17","218","196","81","74","63","70","18","27","1400000US25017364101","Census Tract 3641.01, Middlesex County, Massachusetts"
"5170","270","4839","303","18","28","0","17","129","124","0","17","82","113","102","92","0","17","102","92","1400000US25017364102","Census Tract 3641.02, Middlesex County, Massachusetts"
"8129","193","6690","357","319","296","0","17","896","201","0","17","0","17","224","167","0","17","224","167","1400000US25017365100","Census Tract 3651, Middlesex County, Massachusetts"
"6106","168","5336","207","0","17","7","11","581","145","0","17","6","13","176","106","0","17","176","106","1400000US25017365201","Census Tract 3652.01, Middlesex County, Massachusetts"
"4887","146","4179","198","28","43","0","12","460","123","0","12","17","28","203","116","12","18","191","115","1400000US25017365202","Census Tract 3652.02, Middlesex County, Massachusetts"
"4789","220","3995","228","10","15","0","12","585","130","0","12","32","42","167","135","0","12","167","135","1400000US25017366100","Census Tract 3661, Middlesex County, Massachusetts"
"3634","174","3149","159","0","12","0","12","343","60","0","12","11","18","131","93","0","12","131","93","1400000US25017366201","Census Tract 3662.01, Middlesex County, Massachusetts"
"5379","263","4437","306","87","99","0","17","657","162","35","47","25","26","138","81","0","17","138","81","1400000US25017366202","Census Tract 3662.02, Middlesex County, Massachusetts"
"4417","275","3558","375","18","22","0","12","593","120","0","12","79","98","169","161","0","12","169","161","1400000US25017367100","Census Tract 3671, Middlesex County, Massachusetts"
"7695","269","5991","349","207","162","18","28","974","240","0","17","198","166","307","211","62","108","245","165","1400000US25017367200","Census Tract 3672, Middlesex County, Massachusetts"
"6515","399","5110","401","271","192","0","17","978","359","0","17","2","26","154","153","4","79","150","127","1400000US25017368101","Census Tract 3681.01, Middlesex County, Massachusetts"
"3991","234","2857","252","467","66","54","86","533","120","0","12","6","10","74","74","0","12","74","74","1400000US25017368102","Census Tract 3681.02, Middlesex County, Massachusetts"
"4270","310","3381","363","91","67","0","12","363","147","0","12","352","267","83","56","10","16","73","55","1400000US25017368200","Census Tract 3682, Middlesex County, Massachusetts"
"5007","556","3422","621","190","140","72","97","795","388","0","17","272","231","256","154","163","135","93","75","1400000US25017368300","Census Tract 3683, Middlesex County, Massachusetts"
"8153","493","5846","490","611","289","0","17","1275","253","0","17","261","280","160","72","13","20","147","69","1400000US25017368400","Census Tract 3684, Middlesex County, Massachusetts"
"2983","324","1805","257","226","122","32","48","273","126","0","12","385","343","262","282","19","33","243","273","1400000US25017368500","Census Tract 3685, Middlesex County, Massachusetts"
"5585","478","4183","479","177","112","0","17","355","231","0","17","593","586","277","372","0","17","277","372","1400000US25017368600","Census Tract 3686, Middlesex County, Massachusetts"
"2489","340","1175","232","130","104","0","12","204","165","0","12","802","459","178","197","37","59","141","193","1400000US25017368700","Census Tract 3687, Middlesex County, Massachusetts"
"5329","509","3789","368","284","281","15","25","668","212","0","17","172","168","401","303","41","49","360","295","1400000US25017368800","Census Tract 3688, Middlesex County, Massachusetts"
"7297","409","5397","477","585","427","3","7","920","178","0","17","163","133","229","99","16","22","213","95","1400000US25017368901","Census Tract 3689.01, Middlesex County, Massachusetts"
"4312","369","2419","365","790","263","91","95","719","243","0","12","172","172","121","69","10","14","111","68","1400000US25017368902","Census Tract 3689.02, Middlesex County, Massachusetts"
"1596","156","1297","168","79","67","0","12","148","68","0","12","11","15","61","50","0","12","61","50","1400000US25017369000","Census Tract 3690, Middlesex County, Massachusetts"
"5250","381","4465","345","549","443","0","17","90","89","0","17","0","17","146","111","33","51","113","99","1400000US25017369100","Census Tract 3691, Middlesex County, Massachusetts"
"7459","460","6076","527","161","169","81","130","835","304","0","17","0","17","306","193","73","120","233","161","1400000US25017370101","Census Tract 3701.01, Middlesex County, Massachusetts"
"8573","535","6678","570","178","153","15","23","1094","279","0","17","455","328","153","110","80","98","73","72","1400000US25017370102","Census Tract 3701.02, Middlesex County, Massachusetts"
"3700","269","3334","293","37","29","0","12","243","158","0","12","13","17","73","58","0","12","73","58","1400000US25017370201","Census Tract 3702.01, Middlesex County, Massachusetts"
"4249","289","3718","349","83","70","0","12","222","166","0","12","193","212","33","28","0","12","33","28","1400000US25017370202","Census Tract 3702.02, Middlesex County, Massachusetts"
"5955","543","4882","571","29","32","0","17","610","244","0","17","318","383","116","88","0","17","116","88","1400000US25017370300","Census Tract 3703, Middlesex County, Massachusetts"
"5465","322","4615","398","89","71","0","17","493","287","0","17","67","94","201","160","0","17","201","160","1400000US25017370400","Census Tract 3704, Middlesex County, Massachusetts"
"4968","412","3561","416","299","312","0","12","854","348","0","12","24","32","230","141","49","81","181","136","1400000US25017373100","Census Tract 3731, Middlesex County, Massachusetts"
"5115","369","3779","342","145","124","0","17","722","191","8","14","347","248","114","82","16","23","98","79","1400000US25017373200","Census Tract 3732, Middlesex County, Massachusetts"
"3287","304","2356","323","74","63","0","12","596","147","0","12","92","120","169","134","0","12","169","134","1400000US25017373300","Census Tract 3733, Middlesex County, Massachusetts"
"3581","271","2700","286","145","144","22","42","397","100","0","12","127","142","190","109","0","12","190","109","1400000US25017373400","Census Tract 3734, Middlesex County, Massachusetts"
"5913","353","4843","364","132","123","0","17","554","131","0","17","197","182","187","92","14","20","173","90","1400000US25017373500","Census Tract 3735, Middlesex County, Massachusetts"
"6474","418","5028","409","173","88","7","14","857","170","0","17","108","57","301","123","23","16","278","122","1400000US25017373600","Census Tract 3736, Middlesex County, Massachusetts"
"3826","247","3184","213","167","191","0","12","337","112","0","12","18","21","120","76","8","11","112","76","1400000US25017373700","Census Tract 3737, Middlesex County, Massachusetts"
"5932","401","4301","411","368","247","0","17","1044","304","0","17","34","37","185","136","16","26","169","133","1400000US25017373800","Census Tract 3738, Middlesex County, Massachusetts"
"6396","437","5149","339","195","223","0","17","920","298","0","17","55","68","77","69","16","24","61","62","1400000US25017373900","Census Tract 3739, Middlesex County, Massachusetts"
"4987","362","3523","350","58","51","19","31","1133","241","0","12","141","98","113","107","0","12","113","107","1400000US25017374000","Census Tract 3740, Middlesex County, Massachusetts"
"4922","299","3316","309","176","111","31","45","1134","215","0","12","178","131","87","70","55","66","32","29","1400000US25017374100","Census Tract 3741, Middlesex County, Massachusetts"
"4357","201","3394","235","92","74","0","12","567","138","0","12","60","59","244","183","36","71","208","159","1400000US25017374200","Census Tract 3742, Middlesex County, Massachusetts"
"3567","147","3017","212","35","38","0","12","404","143","0","12","7","12","104","90","0","12","104","90","1400000US25017374300","Census Tract 3743, Middlesex County, Massachusetts"
"5544","344","4664","342","35","37","0","17","631","271","0","17","61","69","153","102","27","33","126","104","1400000US25017374400","Census Tract 3744, Middlesex County, Massachusetts"
"4597","244","3655","252","140","107","0","12","510","166","0","12","93","80","199","122","0","12","199","122","1400000US25017374500","Census Tract 3745, Middlesex County, Massachusetts"
"5357","298","4218","313","150","115","0","17","649","193","0","17","45","58","295","204","58","80","237","191","1400000US25017374600","Census Tract 3746, Middlesex County, Massachusetts"
"4745","272","3462","244","100","97","0","12","1027","161","0","12","42","68","114","63","0","12","114","63","1400000US25017374700","Census Tract 3747, Middlesex County, Massachusetts"
"5025","344","3758","348","139","57","28","31","815","147","0","17","44","30","241","110","20","18","221","108","1400000US25017374800","Census Tract 3748, Middlesex County, Massachusetts"
"5262","216","4580","242","95","84","0","17","507","90","3","6","8","15","69","45","1","2","68","45","1400000US25017382100","Census Tract 3821, Middlesex County, Massachusetts"
"5365","300","4652","405","98","116","0","17","271","112","0","17","200","255","144","93","0","17","144","93","1400000US25017382200","Census Tract 3822, Middlesex County, Massachusetts"
"6065","348","5489","388","109","144","21","34","323","126","0","17","32","38","91","76","20","52","71","58","1400000US25017382300","Census Tract 3823, Middlesex County, Massachusetts"
"5294","275","4757","322","146","82","0","17","362","234","0","17","0","17","29","34","0","17","29","34","1400000US25017382400","Census Tract 3824, Middlesex County, Massachusetts"
"5070","382","4118","416","95","85","15","22","771","180","0","17","46","56","25","31","15","24","10","17","1400000US25017382500","Census Tract 3825, Middlesex County, Massachusetts"
"4578","308","2354","292","64","63","0","12","1746","403","0","12","116","157","298","177","156","183","142","116","1400000US25017382601","Census Tract 3826.01, Middlesex County, Massachusetts"
"4494","226","3607","240","70","49","1","3","681","154","0","12","59","59","76","59","0","12","76","59","1400000US25017382602","Census Tract 3826.02, Middlesex County, Massachusetts"
"3557","502","2191","366","137","98","85","112","80","80","0","12","962","399","102","86","41","59","61","66","1400000US25017383101","Census Tract 3831.01, Middlesex County, Massachusetts"
"5642","419","2192","313","1389","411","10","16","37","52","0","17","1754","407","260","145","12","18","248","145","1400000US25017383102","Census Tract 3831.02, Middlesex County, Massachusetts"
"6141","568","3494","597","320","100","18","31","368","167","0","17","1655","613","286","217","71","98","215","192","1400000US25017383200","Census Tract 3832, Middlesex County, Massachusetts"
"3154","329","1915","422","267","167","0","12","476","311","0","12","162","150","334","271","40","43","294","287","1400000US25017383300","Census Tract 3833, Middlesex County, Massachusetts"
"7047","791","4466","952","320","184","90","170","305","152","0","17","1848","897","18","30","18","30","0","17","1400000US25017383400","Census Tract 3834, Middlesex County, Massachusetts"
"5083","445","3133","459","457","137","0","17","650","220","0","17","701","391","142","83","41","45","101","61","1400000US25017383501","Census Tract 3835.01, Middlesex County, Massachusetts"
"3657","496","2681","397","228","160","7","11","214","120","0","12","386","217","141","77","49","56","92","52","1400000US25017383502","Census Tract 3835.02, Middlesex County, Massachusetts"
"6192","408","4460","573","653","326","134","189","535","405","0","17","317","253","93","93","42","48","51","78","1400000US25017383600","Census Tract 3836, Middlesex County, Massachusetts"
"5031","369","4252","364","192","130","0","17","346","146","0","17","176","106","65","63","0","17","65","63","1400000US25017383700","Census Tract 3837, Middlesex County, Massachusetts"
"6191","377","5153","429","162","157","13","20","662","192","0","17","84","61","117","123","0","17","117","123","1400000US25017383800","Census Tract 3838, Middlesex County, Massachusetts"
"8032","353","6831","509","362","219","1","3","471","233","0","17","274","367","93","98","12","19","81","97","1400000US25017383901","Census Tract 3839.01, Middlesex County, Massachusetts"
"5423","320","4367","282","209","142","0","17","506","58","0","17","214","299","127","77","44","54","83","56","1400000US25017383902","Census Tract 3839.02, Middlesex County, Massachusetts"
"1501","114","1156","150","120","106","0","12","145","77","0","12","32","32","48","40","13","15","35","32","1400000US25017384001","Census Tract 3840.01, Middlesex County, Massachusetts"
"5657","516","3963","530","472","286","0","17","903","338","65","78","208","259","46","43","0","17","46","43","1400000US25017384002","Census Tract 3840.02, Middlesex County, Massachusetts"
"7389","287","6232","364","176","150","0","17","762","249","0","17","17","22","202","118","23","38","179","113","1400000US25017385100","Census Tract 3851, Middlesex County, Massachusetts"
"2644","163","2307","166","102","100","0","12","155","84","0","12","32","52","48","71","0","12","48","71","1400000US25017385201","Census Tract 3852.01, Middlesex County, Massachusetts"
"7677","285","6087","463","119","73","38","42","1079","218","0","17","260","338","94","92","0","17","94","92","1400000US25017385202","Census Tract 3852.02, Middlesex County, Massachusetts"
"4316","24","3842","123","28","27","0","12","267","54","0","12","25","28","154","94","17","26","137","89","1400000US25017386100","Census Tract 3861, Middlesex County, Massachusetts"
"4216","163","3976","186","57","61","0","12","107","93","0","12","0","12","76","50","30","44","46","44","1400000US25017387100","Census Tract 3871, Middlesex County, Massachusetts"
"6260","229","5611","296","102","100","0","17","420","112","0","17","0","17","127","148","0","17","127","148","1400000US25017387201","Census Tract 3872.01, Middlesex County, Massachusetts"
"4248","163","3781","241","14","22","0","12","282","124","0","12","36","42","135","78","27","41","108","64","1400000US25017387202","Census Tract 3872.02, Middlesex County, Massachusetts"
"5561","20","4253","247","41","35","0","17","1000","217","0","17","94","103","173","102","0","17","173","102","1400000US25017388100","Census Tract 3881, Middlesex County, Massachusetts"
"7633","20","5925","391","646","268","0","17","308","271","0","17","515","103","239","154","17","19","222","155","1400000US25017388200","Census Tract 3882, Middlesex County, Massachusetts"
"6036","415","3904","543","414","149","0","17","914","206","0","17","444","239","360","198","105","76","255","164","1400000US25017388300","Census Tract 3883, Middlesex County, Massachusetts"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US25017980000","Census Tract 9800, Middlesex County, Massachusetts"
"1649","301","1520","281","88","74","0","12","17","23","7","14","2","7","15","36","0","12","15","36","1400000US25019950100","Census Tract 9501, Nantucket County, Massachusetts"
"5270","563","4315","569","517","306","16","25","0","17","0","17","93","115","329","191","88","101","241","161","1400000US25019950200","Census Tract 9502, Nantucket County, Massachusetts"
"518","136","503","124","15","25","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US25019950307","Census Tract 9503.07, Nantucket County, Massachusetts"
"2680","457","2415","422","209","184","16","27","40","41","0","12","0","12","0","12","0","12","0","12","1400000US25019950400","Census Tract 9504, Nantucket County, Massachusetts"
"1051","217","995","215","42","33","0","12","14","29","0","12","0","12","0","12","0","12","0","12","1400000US25019950500","Census Tract 9505, Nantucket County, Massachusetts"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US25019990000","Census Tract 9900, Nantucket County, Massachusetts"
"5021","489","3050","457","226","179","0","17","1005","278","5","9","349","269","386","196","38","37","348","192","1400000US25021400100","Census Tract 4001, Norfolk County, Massachusetts"
"6600","588","4093","651","310","188","22","36","1769","475","0","17","97","83","309","203","0","17","309","203","1400000US25021400200","Census Tract 4002, Norfolk County, Massachusetts"
"4203","324","3087","320","58","45","0","12","752","222","8","16","170","191","128","80","0","12","128","80","1400000US25021400300","Census Tract 4003, Norfolk County, Massachusetts"
"5786","445","5017","522","25","25","0","17","483","153","0","17","4","8","257","143","0","17","257","143","1400000US25021400400","Census Tract 4004, Norfolk County, Massachusetts"
"5042","439","4050","476","44","43","55","82","574","198","0","17","185","138","134","95","0","17","134","95","1400000US25021400500","Census Tract 4005, Norfolk County, Massachusetts"
"5365","346","4024","489","190","205","0","17","830","281","0","17","0","17","321","298","0","17","321","298","1400000US25021400600","Census Tract 4006, Norfolk County, Massachusetts"
"3356","263","2709","266","31","47","0","12","454","147","0","12","21","26","141","77","0","12","141","77","1400000US25021400700","Census Tract 4007, Norfolk County, Massachusetts"
"5349","443","3922","423","76","83","0","17","1175","329","0","17","24","38","152","98","35","43","117","94","1400000US25021400800","Census Tract 4008, Norfolk County, Massachusetts"
"4089","260","2881","295","258","140","18","22","786","188","0","12","87","63","59","38","25","28","34","30","1400000US25021400900","Census Tract 4009, Norfolk County, Massachusetts"
"3307","239","2187","291","191","110","9","15","462","169","0","12","81","106","377","182","34","47","343","188","1400000US25021401000","Census Tract 4010, Norfolk County, Massachusetts"
"3967","279","2910","284","139","77","0","12","627","149","0","12","35","40","256","117","42","36","214","106","1400000US25021401100","Census Tract 4011, Norfolk County, Massachusetts"
"7095","427","4668","500","375","267","0","17","1341","409","0","17","217","303","494","282","112","108","382","262","1400000US25021401200","Census Tract 4012, Norfolk County, Massachusetts"
"3584","223","3128","294","181","127","0","12","165","105","0","12","20","32","90","71","0","12","90","71","1400000US25021402101","Census Tract 4021.01, Norfolk County, Massachusetts"
"4276","287","3202","303","553","269","0","12","186","126","0","12","174","138","161","115","66","104","95","58","1400000US25021402102","Census Tract 4021.02, Norfolk County, Massachusetts"
"2292","166","1985","210","181","93","8","13","59","52","7","10","42","43","10","12","4","7","6","9","1400000US25021402200","Census Tract 4022, Norfolk County, Massachusetts"
"4645","205","4222","228","109","96","6","12","137","96","8","14","56","72","107","48","9","16","98","46","1400000US25021402300","Census Tract 4023, Norfolk County, Massachusetts"
"6381","341","5405","392","686","259","0","17","90","83","0","17","170","159","30","34","30","34","0","17","1400000US25021402400","Census Tract 4024, Norfolk County, Massachusetts"
"4105","370","3372","259","374","156","14","18","52","39","0","12","63","48","230","274","197","277","33","30","1400000US25021402500","Census Tract 4025, Norfolk County, Massachusetts"
"6858","320","6223","338","2","4","0","17","525","83","0","17","0","17","108","102","0","17","108","102","1400000US25021403100","Census Tract 4031, Norfolk County, Massachusetts"
"4347","239","3847","349","235","227","0","12","240","140","0","12","2","4","23","26","0","12","23","26","1400000US25021403300","Census Tract 4033, Norfolk County, Massachusetts"
"6903","369","6060","389","158","149","0","17","505","163","0","17","13","14","167","103","51","71","116","80","1400000US25021403400","Census Tract 4034, Norfolk County, Massachusetts"
"6596","296","4972","359","251","187","0","17","1034","266","0","17","125","117","214","140","33","55","181","111","1400000US25021403500","Census Tract 4035, Norfolk County, Massachusetts"
"4164","223","2931","250","285","178","25","39","637","114","0","12","17","19","269","108","19","28","250","104","1400000US25021404100","Census Tract 4041, Norfolk County, Massachusetts"
"3698","188","3488","216","21","23","0","12","123","88","0","12","8","20","58","50","0","12","58","50","1400000US25021404201","Census Tract 4042.01, Norfolk County, Massachusetts"
"5051","289","3866","318","224","88","0","17","757","213","8","15","41","37","155","77","39","35","116","76","1400000US25021404202","Census Tract 4042.02, Norfolk County, Massachusetts"
"5509","332","4807","312","0","17","0","17","628","108","0","17","0","17","74","47","0","17","74","47","1400000US25021404301","Census Tract 4043.01, Norfolk County, Massachusetts"
"3811","190","3061","241","58","64","0","12","459","126","0","12","79","88","154","85","0","12","154","85","1400000US25021404302","Census Tract 4043.02, Norfolk County, Massachusetts"
"6514","339","4942","286","247","73","0","17","966","210","13","17","101","78","245","98","27","22","218","97","1400000US25021404400","Census Tract 4044, Norfolk County, Massachusetts"
"6044","25","5292","182","0","17","0","17","631","120","0","17","0","17","121","116","0","17","121","116","1400000US25021405100","Census Tract 4051, Norfolk County, Massachusetts"
