geoid,2016 median income,2016 median income margin of error,2016 race: total households,2016 race: total households margin of error,2016 race: White,2016 race: Black,2016 race: Asian,2016 race: Other,2016 race: 2 or more races,2017 median income,2017 median income margin of error,2017 race: total households,2017 race: total households margin of error,2017 race: White,2017 race: Black,2017 race: Asian,2017 race: Other,2017 race: 2 or more races,2018 median income,2018 median income margin of error,2018 race: total households,2018 race: total households margin of error,2018 race: White,2018 race: Black,2018 race: Asian,2018 race: Other,2018 race: 2 or more races,2019 median income,2019 median income margin of error,2019 race: total households,2019 race: total households margin of error,2019 race: White,2019 race: Black,2019 race: Asian,2019 race: Other,2019 race: 2 or more races
06037101110,49294,7245,4667,413,3344,54,307,849,110,51209,9717,4566,421,3374,52,282,742,111,53077,14466,4314,498,3314,47,329,499,117,63534,16806,4283,443,3347,19,331,391,189
06037101122,86081,9530,3301,326,2684,0,323,180,96,85460,7959,3064,293,2583,0,253,88,128,88953,10913,3239,326,2837,61,206,61,61,90389,9796,3405,334,2981,74,220,48,67
06037101210,36701,6189,5791,454,3793,223,164,1408,203,34627,9993,6043,536,4705,172,149,921,96,32119,11957,6052,515,4771,172,260,736,113,44083,9483,6347,484,4647,198,486,921,95
06037101220,39634,6057,3167,263,2158,91,417,351,150,40273,7184,3340,312,2249,53,395,457,186,41728,3976,3497,336,2494,71,302,487,143,43713,4639,3702,276,2634,87,341,497,143
06037101300,80708,7693,4238,457,3710,112,262,118,36,81076,7284,4285,470,3734,112,245,138,56,86914,16911,4297,483,3705,161,289,48,94,81776,11857,3884,394,3350,205,194,45,90
06037101400,65029,10000,4231,310,3004,41,323,555,265,68313,9818,4089,287,3220,19,241,285,278,71125,13820,3851,286,3022,18,348,224,196,75139,27397,3458,377,2671,17,434,132,144
06037102103,73819,7353,1870,141,1709,0,71,35,55,81477,10437,1838,140,1617,0,80,52,89,76333,9467,1771,164,1523,0,113,50,85,76833,8001,1763,204,1349,25,224,55,110
06037102104,72039,7512,3578,353,2927,49,470,75,47,74138,7435,3681,383,3078,44,441,89,14,70754,19606,3554,395,2720,117,443,206,57,80789,19810,3721,381,2985,79,364,63,219
06037102105,48571,10958,1949,191,1215,49,160,435,75,47431,7337,1956,192,1233,51,165,413,78,52132,13547,1857,214,1179,41,117,415,80,57614,24013,1905,184,1252,18,124,380,103
06037102107,62264,15958,3950,350,3097,53,472,178,123,76875,25067,3862,392,2850,95,362,427,110,106037,15261,4333,334,3402,111,395,319,100,109375,16677,4349,267,3344,69,398,394,138
06037103101,67500,8161,2734,273,2364,9,196,65,75,72734,14754,2532,206,2167,17,177,58,91,89211,14223,2597,259,2201,13,171,85,115,99875,17773,2428,200,1989,18,208,94,119
06037103102,68048,7129,4632,463,3633,0,730,120,139,71979,9438,4491,424,3309,0,844,253,77,74631,10652,4456,388,3240,0,753,345,111,75276,7472,4734,345,3523,0,589,441,181
06037103200,48670,19990,6193,651,5012,343,417,235,186,66522,16993,6285,629,5145,383,348,228,181,71346,15358,6726,578,5902,87,425,140,172,84286,27588,6349,591,5502,105,437,132,173
06037103300,78281,12726,3137,402,2719,7,179,79,144,94306,14073,3418,326,2909,9,238,63,189,93207,23552,3549,441,3018,42,309,52,119,105909,38437,3781,337,3125,12,271,51,277
06037103400,62423,23182,6542,572,4935,279,357,279,338,76917,17711,6728,611,5273,310,559,184,171,81618,14657,6662,583,5017,150,864,202,157,89926,23543,6416,327,4605,154,1050,299,194
06037104103,75938,17110,3861,354,2330,535,378,485,101,83542,18063,3902,392,2385,574,343,496,77,86989,15789,3647,412,2325,502,265,476,51,97543,40104,3431,517,2357,431,199,385,40
06037104105,37846,5587,5879,468,3548,280,449,1449,153,39693,9791,5887,467,3458,258,496,1447,207,52616,10831,6190,461,3300,307,608,1694,249,54960,9370,6054,529,3273,278,696,1491,285
06037104108,42435,5465,4895,516,3047,614,210,940,48,44672,5665,5126,517,2956,510,235,1355,42,50259,6187,5420,443,3159,516,172,1502,58,51875,8807,6001,471,3538,430,203,1704,98
06037104124,80813,10310,4379,532,2555,445,236,950,164,81078,9573,4317,521,2695,466,197,792,137,84250,14640,4189,478,2582,386,353,724,123,77885,13046,3875,374,2506,499,323,390,135
06037104201,42888,6422,4624,632,2989,589,0,1002,41,50968,8224,4816,441,3005,633,0,1123,50,51563,7849,4424,577,2564,423,0,1393,9,60129,10223,4569,458,2840,417,0,1249,8
06037104203,45788,10733,4880,527,2891,230,267,1432,60,41830,12703,5530,524,3175,407,215,1678,55,46406,12110,5541,500,3068,451,52,1877,55,49609,11898,5441,504,3158,455,68,1657,61
06037104204,47721,12845,3417,316,1961,259,193,874,113,47708,16268,3514,289,2031,247,211,921,98,63333,25678,3562,333,2230,165,207,799,149,59000,17579,3679,315,2363,139,246,762,155
06037104310,55865,15051,4974,656,3154,222,42,1400,98,68413,12700,5416,683,2916,203,9,2094,124,69904,10117,5313,630,2825,114,15,2213,127,74940,13087,4962,699,3020,96,18,1693,127
06037104320,44583,11185,5794,733,3006,237,181,2012,171,46972,6720,6211,680,3569,159,174,2102,161,52895,7585,5599,619,3478,207,63,1595,256,56021,4136,5292,551,3464,244,58,1072,452
06037104401,57321,27358,3833,360,2549,7,0,1230,4,70147,14484,3775,384,2378,7,0,1336,4,69965,8528,3452,366,1975,0,28,1365,22,69000,18732,3270,410,2171,14,36,1024,20
06037104403,49048,13512,2932,362,1872,10,31,988,0,56250,14847,3315,379,2014,11,102,1139,11,55398,7514,3279,422,1812,0,95,1320,28,60804,20306,3341,394,2045,0,135,1085,51
06037104404,51771,7450,2922,209,1788,134,38,861,55,54242,6761,3046,204,1864,141,28,995,18,55341,10255,3128,259,1701,132,61,1206,17,56974,11673,3084,330,1845,62,67,1087,8
06037104500,47500,7769,2922,434,1378,0,6,1449,79,56875,17030,2984,461,1394,0,5,1485,90,60139,17684,2950,509,1367,0,5,1499,69,64229,11735,3025,468,1608,1,0,1304,102
06037104610,52727,8544,3337,337,1972,0,0,1259,86,58049,6009,3501,337,1784,0,0,1642,61,60320,5590,3504,307,1760,0,0,1692,40,61359,6411,3386,350,1916,0,0,1417,35
06037104620,55556,7581,3411,303,2218,0,20,1022,137,53173,8297,3449,358,2016,0,18,1258,146,62014,5620,3684,400,1994,26,16,1506,127,64648,5641,3528,358,1865,29,23,1411,138
06037104701,27394,3550,4028,279,2409,271,0,1301,47,27917,4283,4259,268,2499,181,0,1545,34,32036,5303,4325,269,2662,168,0,1471,24,35357,6270,4402,322,2883,174,15,1282,22
06037104703,39286,5911,2339,253,1655,58,0,566,36,40921,8205,2268,279,1426,65,0,707,14,39181,8653,2311,234,1499,137,0,601,11,41875,14155,2174,251,1414,191,0,491,24
06037104704,51003,4878,4140,387,2409,468,248,935,47,53145,11519,4294,360,2422,474,245,1109,15,48581,5348,4331,391,2151,598,336,1207,39,43338,4949,4321,467,2508,555,89,1127,42
06037104810,66054,8588,6034,419,4006,12,108,1882,26,68250,9821,5806,578,4146,10,68,1562,17,74145,9617,5789,549,3815,9,62,1826,46,74149,6780,5631,588,3947,12,47,1509,84
06037104821,51382,8187,3151,270,1847,104,167,990,16,52625,9820,3425,248,1980,102,188,1109,20,68750,25978,3361,283,1903,63,151,1212,5,70231,16006,3551,282,2037,86,119,1208,77
06037104822,48935,14901,2477,249,1593,16,201,636,31,51048,20669,2683,299,1681,19,202,695,31,55500,11909,2748,384,1739,34,124,779,23,60515,15613,2839,341,1841,39,142,714,56
06037106010,76576,16863,3334,320,2619,129,124,327,102,73650,19642,3342,400,2456,121,145,453,148,71806,16946,3108,413,2369,83,118,427,91,89946,11880,3093,372,2354,124,118,383,91
06037106020,71250,6579,6323,394,4518,86,149,1197,343,74286,7468,5937,581,4670,83,92,885,197,75038,9533,5807,506,4809,66,44,675,204,79703,19811,5420,455,4459,70,71,652,156
06037106111,79702,19012,4794,451,3086,138,242,929,249,90031,17353,4714,410,3018,154,330,869,197,93198,14434,4482,422,2758,229,404,823,155,95288,17929,4191,356,2732,185,422,704,107
06037106112,74256,8184,5861,493,4301,77,482,660,185,84932,8262,5812,593,4102,76,416,719,203,90875,18991,5885,542,4157,91,437,665,253,95625,10484,5611,477,3984,158,432,533,242
06037106113,74688,16587,3502,299,2407,149,273,641,32,77467,14922,3722,271,2667,178,303,569,5,85156,15059,3962,304,2872,193,362,525,10,96667,18643,3697,307,2790,171,345,354,10
06037106114,51190,10217,6451,530,4320,410,216,1274,185,50781,13651,6346,461,4648,202,167,1175,105,54363,12727,6410,582,4729,290,259,1012,49,58194,10061,6324,509,4809,215,285,936,38
06037106403,61023,5761,3609,370,2929,3,58,478,125,64631,5251,3600,443,2874,2,56,537,111,62015,5603,3431,363,2797,17,13,505,64,72604,11794,3667,441,3039,67,7,509,14
06037106405,40813,14916,4264,557,3145,266,77,617,147,54688,10868,4563,676,3227,312,82,846,96,57807,11581,4813,603,3525,278,82,848,80,59352,9915,4758,562,3261,308,65,979,145
06037106406,76131,5485,5508,459,3908,193,529,621,66,79537,11770,5831,482,4195,223,369,624,204,77454,9348,5860,520,4330,170,310,560,235,85115,7757,5839,729,4559,184,418,440,204
06037106407,33073,9752,3077,339,2322,288,130,267,59,33681,14986,3086,321,2288,360,137,248,53,37452,13346,3272,346,2520,323,122,258,43,34327,11980,3119,277,2255,509,133,174,48
06037106408,41806,8398,3644,338,2517,82,242,740,63,46038,7055,3645,294,2598,70,228,702,47,49464,6502,3817,340,2830,71,137,705,74,60199,13377,3667,351,2713,92,132,678,52
06037106510,92857,15136,5178,516,3626,300,388,670,194,100740,11201,5328,437,3752,347,307,623,294,91983,34313,5347,500,3453,347,480,727,331,85521,26927,5618,445,4104,285,438,560,184
06037106520,61599,4448,5616,397,4613,30,49,709,215,63664,7442,5778,461,5086,23,90,435,144,63594,7761,5879,446,4919,25,85,670,180,63924,7795,5920,475,5013,16,126,692,73
06037106603,102632,8046,3253,192,2046,76,665,58,383,105573,9074,3252,212,2111,87,733,34,258,114688,13180,3222,224,2143,1,779,50,219,112404,11166,3156,188,2085,70,731,108,125
06037106604,50150,8587,4870,493,4024,0,166,581,47,54351,10850,4882,537,4090,7,173,566,19,58028,15198,5143,739,4343,4,102,626,34,60350,7074,5068,546,4199,55,108,620,64
06037106641,101758,10051,2196,166,1594,32,437,29,104,103235,11742,2314,110,1608,26,489,41,150,108333,11887,2352,94,1684,28,465,13,162,110357,13551,2372,89,1694,19,455,45,159
06037106642,96970,8835,3230,311,1979,88,360,442,361,102159,9343,3240,323,2027,104,278,464,367,106179,11382,3016,312,1847,175,337,496,152,109063,14678,2961,282,1911,170,380,265,225
06037106643,138750,13041,4739,313,3082,246,890,134,361,135099,22153,4699,310,2980,108,841,409,269,151875,30343,4599,282,2965,89,972,234,256,164125,19513,4577,265,3059,100,978,226,170
06037106645,109276,15768,3336,320,2669,126,303,110,128,114013,27153,3425,359,2586,125,373,194,147,110946,17845,3491,389,2744,159,437,114,37,113940,12063,3650,435,2724,56,659,105,52
06037106646,91394,10707,3606,237,2220,124,699,461,102,96996,8562,3458,241,2113,160,577,487,108,105750,11803,3439,215,1935,172,590,590,136,110734,5738,3161,312,1910,157,602,267,205
06037106648,46786,7633,4190,308,3227,36,15,880,32,57743,10386,4393,317,3282,49,14,966,82,65278,13454,4569,314,3458,13,6,956,136,68426,9815,4546,379,3428,12,6,936,164
06037106649,80492,9759,2705,156,1809,26,590,194,78,82564,20768,2588,185,1729,65,549,169,69,82841,12832,2599,234,1548,86,536,297,125,87039,15593,2661,228,1599,70,501,346,133
06037107010,51458,11967,3165,278,2157,0,50,912,36,56691,12682,3112,265,2255,0,0,797,48,56375,14964,3093,304,2135,14,17,861,57,69934,9952,3141,340,2323,14,20,687,89
06037107020,71790,11333,5618,517,3881,30,526,1043,99,80000,8967,5649,572,4006,40,593,864,126,81935,7602,5442,497,3776,34,513,845,166,84289,10352,5317,544,4005,18,418,682,117
06037108101,133988,5335,2462,163,1695,42,590,78,57,135893,16798,2461,154,1616,54,592,107,92,141893,16643,2417,196,1586,102,495,180,54,121563,23994,2327,185,1539,83,513,118,74
06037108102,93438,14851,3686,242,2309,80,1063,87,137,94504,15084,3605,213,1878,126,1297,122,170,95592,17234,3677,253,1881,160,1349,180,93,100938,24626,3552,247,2072,131,1109,167,73
06037108103,143000,16121,2945,273,2058,10,814,0,52,153940,11179,3184,394,2009,11,854,225,58,159643,23850,3153,341,1970,0,898,187,69,146932,26285,3099,448,1968,0,824,177,100
06037108104,119875,21468,1992,178,1343,29,537,28,55,122000,22376,1965,238,1184,70,557,61,93,130714,14687,1922,254,1123,94,592,60,53,152321,18571,1836,278,945,105,644,37,105
06037108201,113553,8871,5827,308,2048,334,2848,144,436,119907,13133,5594,302,2376,145,2520,184,369,125000,10228,5501,269,2188,325,2563,164,261,129688,12399,5460,320,2119,357,2575,98,294
06037108202,104182,18313,6270,400,2827,250,2698,83,282,102188,20403,6898,363,3062,312,3119,9,267,108304,36027,7561,459,3228,517,3405,14,252,97188,43930,7487,529,2929,588,3607,19,310
06037109100,70865,9126,2757,224,1753,0,459,498,42,73839,15831,2855,263,1753,11,375,663,48,59792,22622,2738,270,1634,9,335,691,63,67750,23269,2797,264,1712,8,330,722,18
06037109200,86964,32107,2804,207,1998,31,549,45,127,100083,9859,2955,279,2101,14,546,89,171,112250,13952,2995,255,1826,65,635,238,190,117857,6216,2846,296,1669,57,713,282,125
06037109300,77750,12825,3475,233,1737,263,534,734,127,82037,13520,3285,184,1627,141,540,725,113,84919,13563,3247,188,1785,25,517,684,125,86316,7829,2962,201,1798,26,503,421,132
06037109400,51475,10096,3434,322,1729,124,154,1126,264,71750,15503,3665,578,1719,102,115,1473,214,77273,12367,3959,581,1627,90,140,1664,214,82215,9679,3903,633,1632,33,162,1742,46
06037109500,51380,5960,4792,454,3137,53,57,1366,179,51794,7493,4895,534,2994,57,62,1682,100,44118,15078,4821,576,2826,58,122,1779,36,33387,12815,4832,585,2908,65,111,1712,36
06037109601,76484,15576,5388,459,2925,84,468,1765,127,88954,6145,5152,460,2859,75,359,1778,81,92545,9840,4938,399,2416,132,511,1769,110,93778,8664,4945,404,2179,50,525,2135,56
06037109603,52301,11059,4094,480,2445,93,525,884,96,53750,14812,4444,525,2132,108,632,1421,135,53750,13520,4476,416,2059,73,561,1653,104,56970,15640,4297,470,1701,64,622,1766,95
06037109604,70217,9613,3090,276,1794,43,331,847,37,76154,13673,2900,252,1585,82,530,596,75,88000,23560,3088,246,1472,74,555,812,115,92500,19997,3195,313,1472,35,391,1118,114
06037109700,86364,13862,4362,655,2126,236,451,1427,93,95845,10875,4701,613,2044,527,709,1302,119,98605,8025,4568,519,2103,796,456,1143,70,101709,8063,4616,279,2612,467,723,710,104
06037109800,69079,19057,5100,388,2916,137,514,1330,182,92188,14804,5494,445,2660,183,975,1427,228,96422,17046,5398,481,2480,210,850,1701,134,92356,21749,5534,556,2477,164,901,1816,150
06037111100,80239,4467,3055,168,1741,64,470,710,70,82818,6182,3028,171,1646,67,474,756,81,86683,8350,3128,200,1702,78,472,779,92,91648,8321,3179,262,1679,85,457,847,80
06037111201,78430,6638,3306,269,2056,42,498,596,114,86086,12841,3436,381,2267,39,474,602,54,85034,6062,3485,304,2407,47,541,399,33,90341,22702,3628,400,2480,40,562,478,18
06037111202,63688,19820,5451,577,2940,143,1135,816,388,65417,13157,5284,530,2900,294,1119,633,312,80521,10095,5329,567,3061,298,1152,512,290,84240,10268,5169,506,3416,253,743,537,207
06037111204,126406,16703,6308,328,4203,189,1225,494,197,140417,23445,6245,265,4186,204,1283,285,221,150192,22886,6153,310,3846,274,1354,241,387,154038,20918,6114,410,3503,264,1447,258,581
06037111205,70490,6589,4269,331,1948,633,1417,38,164,71380,6242,4084,293,2020,392,1474,25,134,76968,15431,4064,353,1875,442,1424,255,53,77351,15708,3869,372,1560,297,1437,487,73
06037111206,102083,14575,4742,399,2989,57,1090,195,264,105259,27552,4717,373,3028,59,809,269,419,114861,29680,4382,296,2742,54,557,389,509,114275,25635,4379,315,2791,48,676,441,409
06037111301,58682,10232,7173,855,3413,708,1416,1194,442,70879,8514,7218,598,3445,286,1577,1426,484,68456,13421,7151,829,3664,446,1531,941,569,66861,15466,7552,949,3528,443,2136,751,694
06037111302,69395,15790,5313,301,3416,378,1048,318,153,65417,13864,5330,335,3057,359,1351,358,205,66850,13107,5325,362,3192,415,1166,463,85,62865,15358,5163,382,2724,477,1258,573,125
06037111400,51094,8974,7939,712,4203,655,1080,1201,689,55227,12456,7964,512,4010,506,1212,1491,654,59875,9364,8066,428,4322,439,1355,1505,357,61467,5880,8735,555,5582,390,1260,1257,152
06037113101,107538,20305,3682,400,2794,53,657,122,46,106923,17006,3671,482,2852,106,520,131,54,105781,15105,3699,446,2810,70,592,202,25,106000,16414,3719,399,2741,134,649,195,0
06037113102,124375,20221,3105,160,2375,42,441,21,209,141250,33451,3033,166,2317,83,400,52,166,138333,28290,2928,194,2296,75,364,70,107,163021,24636,3021,206,2521,63,321,73,30
06037113211,91210,17054,3888,236,2926,113,518,228,79,88867,9639,3740,201,3025,104,528,61,8,93009,10767,3929,231,3204,53,598,59,2,91094,5602,4109,200,3340,106,569,41,44
06037113212,79315,9958,3349,235,2158,166,729,214,82,77872,16302,3373,172,2348,94,721,120,89,79009,7718,3272,191,2023,76,732,332,87,84429,15294,3494,262,1870,131,917,403,150
06037113213,80861,2911,4745,278,2575,242,952,600,320,82208,3839,4982,312,2510,226,962,941,290,84274,5892,5059,277,2286,241,1147,941,383,91544,10035,5248,366,2314,326,1128,1016,409
06037113231,90000,11577,2239,117,1513,174,344,92,116,96214,13145,2329,108,1488,228,411,46,156,105208,15439,2424,134,1566,318,283,63,194,112500,16837,2303,129,1634,60,281,59,269
06037113232,101318,16913,4092,319,2792,53,724,95,379,103988,10672,4265,387,2912,110,853,154,234,112105,26349,4358,383,3096,95,776,170,219,113079,12646,4315,372,3002,129,692,202,289
06037113233,41155,9550,8106,984,2756,514,1125,3659,52,40697,11028,8229,765,3071,608,1171,3261,60,47500,5117,7624,750,3158,493,945,2901,70,46474,5578,7345,594,3087,482,1055,2541,131
06037113234,47262,17382,4654,421,1903,276,824,1587,34,55274,3668,4621,399,2205,257,796,1273,43,56375,5335,4818,461,2243,246,842,1402,49,59598,5323,4823,538,2290,209,865,1409,43
06037113235,71346,8867,1815,237,1288,76,81,203,140,75625,12595,1840,227,1261,82,70,243,145,88750,12410,1834,198,1140,102,86,229,238,89792,16726,1824,223,1095,116,63,232,279
06037113237,83170,12968,3837,305,2345,216,480,368,397,77297,11480,4163,485,2453,319,441,469,468,82821,11889,4145,465,2563,380,497,440,236,82024,11812,4194,432,2298,646,478,484,288
06037113301,69286,12152,2397,274,1733,94,377,67,122,68194,10996,2418,180,1860,19,351,72,112,66500,9854,2960,306,2046,170,385,176,179,66793,10945,3509,436,2331,200,605,145,187
06037113303,83929,13045,4110,256,2560,50,761,430,309,88580,14731,4241,281,2689,61,750,458,283,83971,14992,4307,243,2756,63,730,498,234,93656,11664,4191,279,3085,66,459,360,179
06037113321,56845,6687,5661,410,2629,500,1230,945,336,59196,7997,6309,422,2821,589,1012,1616,253,68904,13777,6420,417,3418,668,948,921,377,76897,16046,6180,653,3370,552,887,978,309
06037113322,87675,13586,4176,285,2730,69,948,341,79,82407,12173,4214,301,2819,42,914,322,107,93795,16641,4284,267,2733,51,946,383,160,94983,13287,4572,328,2713,84,885,656,219
06037113401,72083,7932,5695,399,2933,187,860,1387,305,82804,10296,6013,499,2793,149,909,1833,304,84923,7103,6284,599,2614,145,1223,1842,435,86101,12085,6550,627,2595,141,1046,2259,486
06037113421,57159,9455,6618,396,2395,326,900,2651,314,60789,7154,6880,453,2421,355,1030,2792,234,61228,6916,6810,433,2189,480,1003,2942,146,65060,8613,6879,474,2136,398,984,3123,185
06037113422,65147,10380,6516,630,3904,182,914,1225,265,64921,11745,6465,602,3687,189,1101,1314,149,74262,8336,6385,751,3635,318,1133,1044,229,75109,10197,6306,600,3737,360,925,1003,250
06037115101,117198,23949,5210,339,3507,430,608,323,323,135000,20123,5205,340,3343,287,729,390,417,138750,20463,5060,333,3070,284,558,687,421,141711,22945,5083,333,3097,261,581,852,255
06037115103,41136,23708,3530,315,1516,417,640,686,241,-,**,3498,315,1500,471,621,632,244,41818,20266,3393,344,1533,468,621,481,260,43958,16906,3381,318,1645,491,605,381,229
06037115104,41080,8131,4295,429,2149,583,888,486,189,51563,3931,4650,403,2267,614,844,711,198,51094,15889,4752,386,2035,834,970,655,231,54861,8965,4377,417,2088,671,926,506,167
06037115201,49917,10434,6834,498,3483,515,1328,1125,369,50606,11084,7039,612,4138,438,1192,905,352,63768,13927,6909,517,4353,319,992,893,337,65208,14442,6647,669,4059,170,971,1111,322
06037115202,49688,5460,5052,463,2636,588,885,743,200,55560,11365,5088,492,2497,442,660,1303,186,61202,24960,5328,407,2721,525,787,1022,273,65125,13402,5684,488,2711,550,848,1246,329
06037115301,73241,12178,4203,239,2558,296,779,337,213,79844,18662,4524,276,2731,301,937,375,170,94615,17863,4600,330,2760,304,1042,292,191,94279,20089,4524,381,2749,150,1096,339,181
06037115302,43958,9420,4357,298,2042,352,262,1618,73,45441,9976,4364,313,2135,331,392,1428,68,46544,6094,4132,288,2175,278,448,1171,48,45549,5111,3957,261,1995,260,388,1163,91
06037115401,60665,6158,5985,437,3588,404,619,1183,185,59482,9272,6405,404,3623,405,769,1435,167,61483,9361,6219,475,3722,308,801,1277,105,71646,10863,6373,416,3790,253,729,1426,175
06037115403,41383,6464,3644,369,1708,366,357,1016,197,48984,7257,3706,341,1696,328,484,995,203,52500,5266,3722,252,1696,256,562,990,218,54407,5828,3583,312,1476,227,548,1074,258
06037115404,42379,17103,3005,342,1338,183,327,986,113,51500,9815,2990,250,1433,191,386,803,121,63659,14009,2926,276,1406,281,395,623,151,66136,10633,2800,252,1243,197,474,696,140
06037117101,76413,11344,5131,380,1771,208,1960,836,356,75694,6923,5269,367,1513,101,2281,1162,212,79005,10890,5115,519,1036,215,1991,1563,310,90750,13801,5224,486,896,491,2069,1489,279
06037117102,68050,14602,2826,251,1404,43,331,940,102,63681,12097,2841,258,1582,32,265,909,43,62643,6767,2839,260,1620,47,210,892,61,69500,15098,2861,294,1600,66,331,784,75
06037117201,45179,12884,4626,455,1993,75,604,1830,109,57866,16385,4580,436,2352,73,666,1390,81,55750,17039,4785,414,2148,91,686,1595,265,61335,12685,5191,435,2017,296,673,1803,402
06037117202,82500,12748,2594,207,1345,112,710,342,66,80313,15482,2597,204,1260,220,627,378,92,79464,32786,2577,265,1211,228,737,229,144,100326,15225,2633,256,1282,245,719,235,133
06037117301,91738,5686,3944,265,2537,98,590,557,162,97083,7447,4053,234,2522,116,646,514,255,95391,12833,4005,234,2241,90,723,675,276,97634,17795,3910,242,2130,94,714,779,193
06037117302,81389,15758,5290,376,3374,290,814,487,202,87813,13572,5363,435,3211,461,915,475,170,95303,19056,5335,438,3256,512,939,362,120,102917,9555,5229,360,3145,611,850,315,182
06037117303,96161,6860,3520,219,2061,89,525,718,125,96625,19116,3706,214,2113,40,692,750,109,81517,8434,3578,251,1788,159,564,951,114,83931,14811,3754,297,1839,148,657,989,118
06037117404,87305,7902,4526,431,2513,156,618,1026,213,84554,11153,4463,330,2494,111,517,1173,158,85448,15482,4729,407,2686,79,526,1304,124,107981,18036,5324,593,2569,66,823,1551,304
06037117405,30733,2908,3615,246,1320,14,123,2123,35,32301,3226,3620,259,1094,29,133,2355,9,36582,5471,3723,315,1249,63,105,2297,9,36538,7081,3574,266,952,115,99,2408,0
06037117407,24292,2934,3829,315,1420,46,80,2267,0,25208,3995,3917,278,1073,42,60,2724,0,28512,4669,4064,292,718,38,89,3203,5,33480,6180,3836,303,730,49,90,2894,21
06037117408,29125,5360,3270,310,1393,368,172,1306,24,32065,6386,3332,282,1253,303,169,1559,40,34630,6044,3333,256,1022,338,233,1678,62,36250,5369,3073,278,1079,145,333,1440,76
06037117510,32438,9077,3834,348,1333,101,184,2092,124,32465,10350,4171,404,1433,126,227,2308,77,42432,8791,4340,477,1125,145,320,2668,82,46838,8608,3687,423,1270,128,274,1997,0
06037117520,36500,8759,4102,285,1553,229,275,1941,104,42206,9981,4180,324,1305,262,332,2108,173,37375,5895,4133,268,1030,263,303,2409,128,36003,3512,4168,305,969,255,331,2468,145
06037117530,37371,11027,6469,545,2765,162,794,2618,68,47244,4614,6739,566,2377,154,878,3117,130,51875,6285,6864,457,2136,122,819,3612,113,55483,5843,6742,456,1909,125,740,3769,178
06037119001,64038,6989,4185,282,2184,2,733,1104,156,77813,14695,4195,338,2228,1,722,1088,149,76932,13829,4329,375,2265,1,671,1260,124,85758,8043,4435,340,2537,14,614,1133,107
06037119002,66400,6322,6794,766,4150,132,565,1737,157,74200,10071,7440,673,4507,197,579,1919,207,79846,7152,8052,600,5063,168,643,1855,323,80664,6977,7976,677,4866,107,766,1892,311
06037119201,65694,7944,4107,290,3111,1,314,595,80,71087,5065,4016,327,2918,0,349,671,64,74012,15125,4289,317,2898,1,292,989,71,91111,6005,4547,351,2680,30,275,1438,78
06037119202,60508,11110,4366,406,1720,139,419,1865,114,62779,7101,4493,455,1610,32,227,2397,66,64196,9732,4723,430,1961,38,295,2281,49,67500,14854,4759,530,2374,35,314,1872,69
06037119310,42824,4317,4087,464,2696,93,539,703,38,45104,6938,3957,323,2265,116,554,991,16,47049,7467,4085,316,2069,157,620,1175,40,47959,7471,4087,328,1693,214,648,1434,76
06037119320,44974,13684,4824,365,1894,278,907,1663,82,52563,17126,4938,480,1366,242,915,2342,73,63375,36585,4761,483,1277,310,872,2205,97,72813,18384,4906,503,1085,296,861,2576,88
06037119340,27360,2583,3965,298,2475,87,68,1295,19,28403,1656,3976,259,2047,102,33,1753,20,29891,3652,4032,296,1772,176,48,2019,0,30817,5234,4264,269,1497,173,116,2455,0
06037119341,45724,5465,2767,222,1145,95,748,689,90,47442,6562,2900,203,1014,100,744,940,102,47778,3826,2877,201,1165,82,729,864,37,51083,8755,2890,202,840,137,787,1097,15
06037119342,43387,4090,3275,201,1541,93,474,1155,12,45257,4558,3196,186,1463,80,438,1199,16,52083,5962,3092,240,1422,66,403,1171,30,58611,9596,2911,240,1082,58,378,1266,108
06037119400,72216,11358,5275,715,3595,52,294,1235,99,76607,11551,5252,351,3201,52,403,1448,148,81711,9652,5426,468,3048,47,458,1691,182,83333,10764,5499,449,2910,115,485,1774,215
06037119700,78208,14504,4866,436,2680,117,1231,659,175,92788,21989,5046,381,3103,169,1109,477,188,79986,15912,5076,318,2998,185,1164,633,96,81688,13001,4913,411,2862,179,1116,589,167
06037119800,73681,10165,6140,433,3690,102,718,1434,175,73875,8814,6388,445,3695,82,798,1693,108,74906,9096,6130,385,3305,87,868,1773,97,82981,13843,6054,465,3627,68,803,1440,110
06037119900,73409,17359,5100,354,3061,9,1044,966,11,76157,10945,5173,465,2532,16,1267,1336,10,74183,18047,4998,372,1966,24,1161,1802,0,78000,14084,5245,401,2167,39,1122,1793,92
06037120010,46974,9343,2743,278,1211,89,408,887,138,48594,10462,2692,234,986,76,379,1137,108,50500,11525,2701,212,933,81,286,1337,64,49432,12269,2704,185,874,75,429,1248,78
06037120020,31157,3377,4461,452,1469,30,925,2012,25,32052,5566,4132,473,1404,91,812,1807,18,32551,5687,3853,381,1113,220,699,1798,23,37045,6357,3872,383,979,283,648,1914,48
06037120030,23345,3647,2520,306,1174,116,209,1021,0,26563,3060,2500,287,1086,113,138,1163,0,27162,3070,2683,281,1014,58,136,1475,0,30625,9816,2666,307,694,72,168,1732,0
06037120103,26345,2528,3356,297,1375,69,29,1815,15,28173,3561,3370,359,1174,72,71,2000,12,28073,3994,3399,294,1130,99,98,2043,29,26875,5680,3452,399,972,101,100,2253,26
